id,url,accession_number,region_general_made,region_specific_made,technique,shape,attribution,painter_group,painter_subgroup,earliest_date,latest_date,date_range,authority,height_cm,provenance,comments
690,http://www.beazley.ox.ac.uk/record/D3BE0211-8CEA-4FC2-8340-387AD3B1B680,"Gela, Museo Archeologico N24 ",greece_central,athens,black-figure,lekythos,hoplite_leaving_home_group,NA,NA,-550,-500,50,NA,NA,NA,NA
692,http://www.beazley.ox.ac.uk/record/1DC14868-45B8-435F-9C5B-56F8C550B095,"Toledo (OH), Museum of Art 17.135",greece_central,athens,red-figure,lekythos_squat,manner of meidias p,NA,NA,-450,-400,50,BAPD,NA,NA,NA
693,http://www.beazley.ox.ac.uk/record/9B0B8120-108E-4EAD-8485-4D09B007AB0D,"Toledo (OH), Museum of Art 17.131 ",greece_central,athens,red-figure,lekythos_squat,NA,NA,NA,-450,-400,50,BAPD,NA,NA,NA
702,http://www.beazley.ox.ac.uk/record/D893ACF5-4DDA-4E9F-8790-A7A9E99256E7,"Toledo (OH), Museum of Art 74.45 ",greece_central,athens,black-figure,amphora_neck,manner of lydos,NA,NA,-575,-525,50,BAPD,NA,NA,NA
706,http://www.beazley.ox.ac.uk/record/036D2434-52F5-4E4F-BCE3-AFBCBBA07333,"New York (NY), Metropolitan Museum 41.162.2  New York (NY), Gallatin",greece_central,athens,black-figure,amphora_neck,NA,NA,NA,-525,-475,50,BAPD,NA,NA,NA
707,http://www.beazley.ox.ac.uk/record/6289852E-7C41-4C96-8DD0-AE83E2870933,"New York (NY), Metropolitan Museum X21.4  New York (NY), Metropolitan Museum GR530",greece_central,athens,black-figure,amphora_neck,NA,NA,NA,-525,-475,50,BAPD,NA,NA,NA
708,http://www.beazley.ox.ac.uk/record/E20C8CAE-B5E5-4AE9-ACDB-37241599C752,"New York (NY), Metropolitan Museum 52.11.17 ",greece_central,athens,black-figure,amphora_neck,NA,NA,NA,NA,NA,NA,BAPD,,NA,NA
709,http://www.beazley.ox.ac.uk/record/37211268-9409-4E58-8229-A862B0B81FFD,"New York (NY), Metropolitan Museum 1974.11.1A  Rome, Market",greece_central,athens,black-figure,amphora_neck,NA,NA,NA,-550,-500,50,BAPD,,NA,NA
720,http://www.beazley.ox.ac.uk/record/24E529EB-672D-4491-BCAC-800EDE596115,"Basel, market, Munzen und Medaillen A.G. ",greece_central,athens,black-figure,amphora_neck,"wurzburg 199, group of",NA,NA,-550,-500,50,BAPD,NA,NA,NA
743,http://www.beazley.ox.ac.uk/record/70D8A3E3-E60C-458C-BB90-3B370E7EA0E3,"Munich, Antikensammlungen 1473  Munich, Antikensammlungen J1153",greece_central,athens,black-figure,amphora_neck,london_b_174_group,NA,NA,-550,-500,50,NA,NA,NA,NA
